CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,16:42:02 - July 02 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
16:58:12 07/02/25,73,73,73,73,73,73,,,70,87,13,3668.13,,70,87,8,3668.13,,70,87,6,3668.13,,70,87,16,3668.13,,70,87,7,3668.13,,70,87,9,3668.13,50.8,
16:58:22 07/02/25,75,75,75,75,75,75,,,70,87,15,3713.05,,70,87,7,3713.05,,70,87,6,3713.05,,70,87,12,3713.05,,70,87,5,3713.05,,70,87,5,3713.05,51.1,
16:58:32 07/02/25,74,74,74,74,74,74,,,70,87,18,3668.13,,70,87,7,4641.31,,70,87,6,4641.31,,70,87,8,4641.31,,70,87,5,4641.31,,70,87,6,4641.31,50.2,
16:58:42 07/02/25,75,75,75,75,75,75,,,70,87,19,3668.13,,70,87,11,3668.13,,70,87,5,3668.13,,70,87,17,3668.13,,70,87,6,3668.13,,70,87,8,3668.13,48.9,
16:58:52 07/02/25,73,73,73,73,73,73,,,70,87,13,4641.31,,70,87,6,4641.31,,70,87,3,3713.05,,70,87,16,3713.05,,70,87,5,3713.05,,70,87,8,3713.05,48.0,
16:59:02 07/02/25,72,72,72,72,72,72,,,70,87,9,4641.31,,70,87,6,4641.31,,70,87,1,4641.31,,70,87,10,4641.31,,70,87,6,4641.31,,70,87,6,4641.31,48.8,
16:59:12 07/02/25,72,72,72,72,72,72,,,70,87,23,4641.31,,70,87,9,4641.31,,70,87,7,3713.05,,70,87,16,3713.05,,70,87,8,3713.05,,70,87,10,3713.05,47.4,
16:59:22 07/02/25,72,72,72,72,72,72,,,70,87,20,4641.31,,70,87,13,4641.31,,70,87,9,4641.31,,70,87,22,4616.36,,70,87,11,4616.36,,70,87,11,4616.36,47.3,
16:59:32 07/02/25,83,83,83,83,83,83,,,70,87,31,4541.50,,70,87,19,4541.50,,70,87,12,3633.20,,70,87,36,3633.20,,70,87,10,3633.20,,70,87,6,3633.20,59.8,
16:59:42 07/02/25,83,83,83,83,83,83,,,70,87,13,4641.31,,70,87,13,4641.31,,70,87,6,3713.05,,70,87,15,3713.05,,70,87,8,4591.41,,70,87,7,4591.41,47.4,
16:59:52 07/02/25,74,74,74,74,74,74,,,70,87,15,3668.13,,70,87,8,3668.13,,70,87,6,3668.13,,70,87,10,3668.13,,70,87,5,3668.13,,70,87,8,3668.13,48.3,
